sex|3|5|10|25|50|75|90|95|97
male|108.5|22.07685|22.70876|23.76955|25.82993|28.6813|32.39734|36.88596|40.36069|43.06589
male|109.5|22.24599|22.88648|23.96192|26.05161|28.9453|32.71933|37.28193|40.81665|43.5701
male|110.5|22.4162|23.06551|24.15601|26.27576|29.21271|33.04569|37.68294|41.27773|44.0792
male|111.5|22.58754|23.24593|24.35189|26.50246|29.48359|33.37646|38.08898|41.74388|44.5931
male|112.5|22.76008|23.42779|24.54962|26.73177|29.758|33.7117|38.50008|42.21507|45.11169
male|113.5|22.93388|23.61117|24.74929|26.96376|30.03602|34.05144|38.91622|42.69124|45.63487
male|114.5|23.10902|23.79613|24.95096|27.19851|30.3177|34.39573|39.33741|43.17232|46.16253
male|115.5|23.28558|23.98277|25.1547|27.43609|30.60311|34.7446|39.76363|43.65825|46.69454
male|116.5|23.46364|24.17115|25.3606|27.67657|30.8923|35.09808|40.19484|44.14895|47.23077
male|117.5|23.64329|24.36137|25.56874|27.92001|31.18533|35.4562|40.63103|44.64432|47.77109
male|118.5|23.8246|24.55351|25.77921|28.16651|31.48225|35.81896|41.07214|45.14428|48.31536
male|119.5|24.00769|24.74766|25.99208|28.41613|31.78312|36.1864|41.51813|45.64872|48.86343
male|120.5|24.19264|24.94392|26.20745|28.66894|32.08799|36.55851|41.96894|46.15753|49.41515
male|121.5|24.37956|25.14238|26.42541|28.92502|32.3969|36.93529|42.42452|46.6706|49.97037
male|122.5|24.56855|25.34314|26.64604|29.18446|32.70991|37.31675|42.88478|47.1878|50.52892
male|123.5|24.75971|25.54631|26.86945|29.44731|33.02704|37.70287|43.34967|47.70901|51.09064
male|124.5|24.95315|25.75198|27.09573|29.71365|33.34835|38.09365|43.81908|48.23408|51.65537
male|125.5|25.14898|25.96027|27.32496|29.98357|33.67387|38.48906|44.29292|48.76288|52.22293
male|126.5|25.34731|26.17126|27.55726|30.25713|34.00363|38.88907|44.77111|49.29526|52.79314
male|127.5|25.54826|26.38509|27.7927|30.53439|34.33766|39.29366|45.25354|49.83107|53.36584
male|128.5|25.75195|26.60184|28.0314|30.81543|34.67599|39.7028|45.7401|50.37016|53.94084
male|129.5|25.95847|26.82163|28.27343|31.10032|35.01864|40.11642|46.23066|50.91236|54.51797
male|130.5|26.16796|27.04457|28.51891|31.38912|35.36562|40.5345|46.72512|51.45752|55.09704
male|131.5|26.38051|27.27076|28.76791|31.68189|35.71695|40.95697|47.22334|52.00546|55.67787
male|132.5|26.59626|27.50031|29.02052|31.97868|36.07263|41.38377|47.72519|52.55602|56.26029
male|133.5|26.81531|27.73332|29.27685|32.27955|36.43266|41.81484|48.23054|53.10903|56.84411
male|134.5|27.03777|27.96989|29.53696|32.58454|36.79704|42.2501|48.73924|53.66432|57.42915
male|135.5|27.26376|28.21013|29.80095|32.89371|37.16577|42.68947|49.25114|54.22171|58.01524
male|136.5|27.49337|28.45412|30.06888|33.20709|37.53881|43.13287|49.76611|54.78102|58.60219
male|137.5|27.72672|28.70197|30.34084|33.52472|37.91616|43.5802|50.28397|55.34208|59.18983
male|138.5|27.9639|28.95376|30.61689|33.84662|38.29777|44.03137|50.80458|55.9047|59.77799
male|139.5|28.20501|29.20958|30.8971|34.17281|38.68361|44.48627|51.32778|56.46873|60.3665
male|140.5|28.45015|29.4695|31.18151|34.5033|39.07364|44.94478|51.85339|57.03397|60.95519
male|141.5|28.69939|29.7336|31.4702|34.83811|39.46781|45.40679|52.38125|57.60024|61.5439
male|142.5|28.95283|30.00195|31.76319|35.17724|39.86604|45.87218|52.91119|58.16739|62.13246
male|143.5|29.21053|30.2746|32.06052|35.52066|40.26828|46.3408|53.44304|58.73522|62.72072
male|144.5|29.47257|30.55162|32.36224|35.86837|40.67444|46.81253|53.97661|59.30357|63.30853
male|145.5|29.739|30.83304|32.66834|36.22034|41.08443|47.28721|54.51174|59.87226|63.89573
male|146.5|30.00988|31.11891|32.97885|36.57653|41.49817|47.7647|55.04825|60.44112|64.48219
male|147.5|30.28525|31.40925|33.29378|36.9369|41.91555|48.24483|55.58594|61.00999|65.06776
male|148.5|30.56516|31.70409|33.6131|37.30138|42.33644|48.72744|56.12464|61.57871|65.65231
male|149.5|30.84962|32.00343|33.93681|37.66991|42.76073|49.21236|56.66416|62.1471|66.2357
male|150.5|31.13865|32.30727|34.26488|38.04241|43.18828|49.6994|57.20431|62.715|66.81782
male|151.5|31.43227|32.61561|34.59726|38.4188|43.61896|50.18839|57.74492|63.28226|67.39854
male|152.5|31.73046|32.92842|34.93391|38.79897|44.05259|50.67913|58.28578|63.84873|67.97776
male|153.5|32.03321|33.24567|35.27477|39.18281|44.48903|51.17143|58.82671|64.41424|68.55535
male|154.5|32.3405|33.56731|35.61976|39.5702|44.92809|51.66508|59.36752|64.97865|69.13122
male|155.5|32.65229|33.89329|35.96879|39.96099|45.3696|52.15987|59.90801|65.54182|69.70526
male|156.5|32.96852|34.22353|36.32176|40.35506|45.81336|52.65558|60.448|66.10359|70.27738
male|157.5|33.28913|34.55796|36.67857|40.75222|46.25917|53.152|60.98729|66.66382|70.84748
male|158.5|33.61404|34.89647|37.03908|41.15232|46.70681|53.64889|61.52569|67.22238|71.41549
male|159.5|33.94317|35.23896|37.40317|41.55516|47.15606|54.14603|62.063|67.77913|71.98133
male|160.5|34.27642|35.58531|37.77067|41.96056|47.60669|54.64318|62.59903|68.33393|72.5449
male|161.5|34.61365|35.93538|38.14143|42.3683|48.05847|55.1401|63.13359|68.88665|73.10614
male|162.5|34.95475|36.28902|38.51526|42.77818|48.51113|55.63653|63.66648|69.43717|73.66498
male|163.5|35.29956|36.64606|38.89198|43.18995|48.96443|56.13224|64.1975|69.98535|74.22134
male|164.5|35.64794|37.00634|39.27138|43.60337|49.4181|56.62696|64.72647|70.53106|74.77517
male|165.5|35.99969|37.36965|39.65325|44.01821|49.87187|57.12044|65.25318|71.07419|75.32641
male|166.5|36.35464|37.7358|40.03736|44.43419|50.32546|57.61241|65.77745|71.61461|75.87498
male|167.5|36.71259|38.10456|40.42347|44.85104|50.77859|58.10262|66.29907|72.15219|76.42083
male|168.5|37.07331|38.47571|40.81133|45.26849|51.23096|58.5908|66.81785|72.68681|76.9639
male|169.5|37.43658|38.849|41.20067|45.68625|51.68229|59.07667|67.33359|73.21836|77.50413
male|170.5|37.80215|39.22417|41.59121|46.10402|52.13226|59.55998|67.84611|73.7467|78.04146
male|171.5|38.16976|39.60097|41.98269|46.52151|52.58059|60.04046|68.3552|74.27172|78.57582
male|172.5|38.53916|39.97909|42.37479|46.9384|53.02696|60.51782|68.86067|74.7933|79.10716
male|173.5|38.91004|40.35826|42.76722|47.35437|53.47107|60.99182|69.36233|75.3113|79.63542
male|174.5|39.28212|40.73817|43.15967|47.76912|53.91261|61.46217|69.85999|75.82561|80.1605
male|175.5|39.65509|41.11851|43.55182|48.18232|54.35128|61.92862|70.35345|76.3361|80.68236
male|176.5|40.02863|41.49895|43.94334|48.59365|54.78677|62.3909|70.84252|76.84263|81.2009
male|177.5|40.40241|41.87917|44.3339|49.00279|55.21878|62.84876|71.32701|77.34509|81.71605
male|178.5|40.77608|42.25882|44.72317|49.40941|55.64701|63.30195|71.80674|77.84332|82.2277
male|179.5|41.14932|42.63757|45.1108|49.81318|56.07116|63.75019|72.2815|78.3372|82.73579
male|180.5|41.52175|43.01506|45.49646|50.21378|56.49096|64.19328|72.75113|78.82659|83.24017
male|181.5|41.89302|43.39093|45.8798|50.61091|56.90611|64.63096|73.21544|79.31134|83.74075
male|182.5|42.26275|43.76482|46.26048|51.00423|57.31634|65.063|73.67424|79.7913|84.23741
male|183.5|42.63058|44.13638|46.63815|51.39346|57.72139|65.48919|74.12736|80.26632|84.73
male|184.5|42.99612|44.50523|47.01247|51.77827|58.121|65.90932|74.57462|80.73625|85.21839
male|185.5|43.35899|44.87102|47.3831|52.15839|58.51492|66.32318|75.01586|81.20093|85.70242
male|186.5|43.71882|45.23338|47.74972|52.53352|58.90293|66.73059|75.4509|81.66019|86.18192
male|187.5|44.07523|45.59196|48.11199|52.90339|59.2848|67.13136|75.87959|82.11386|86.65673
male|188.5|44.42784|45.9464|48.46959|53.26773|59.66033|67.52534|76.30176|82.56177|87.12663
male|189.5|44.77629|46.29635|48.82222|53.6263|60.02932|67.91236|76.71726|83.00375|87.59143
male|190.5|45.1202|46.64147|49.16956|53.97886|60.39159|68.29229|77.12595|83.43962|88.05093
male|191.5|45.45922|46.98144|49.51134|54.32518|60.74699|68.665|77.52768|83.8692|88.50487
male|192.5|45.79301|47.31593|49.84727|54.66505|61.09537|69.03038|77.92233|84.29229|88.95303
male|193.5|46.12122|47.64464|50.17709|54.99828|61.4366|69.38833|78.30977|84.70871|89.39516
male|194.5|46.44354|47.96727|50.50055|55.3247|61.77057|69.73878|78.68987|85.11828|89.83098
male|195.5|46.75967|48.28356|50.81743|55.64414|62.09719|70.08164|79.06252|85.5208|90.26024
male|196.5|47.06932|48.59325|51.12752|55.95647|62.41639|70.41688|79.42763|85.91607|90.68264
